wavelength,flux,sigma
12.049389,0.144825,0.002073
12.058825,0.143359,0.001578
12.06826,0.146521,0.001594
12.077692,0.143558,0.001408
12.087124,0.141159,0.002507
12.096554,0.143174,0.001472
12.105982,0.142503,0.001443
12.115408,0.143522,0.002434
12.124834,0.141538,0.002224
12.134256,0.141718,0.002362
12.143679,0.142918,0.002057
12.153099,0.144014,0.002303
12.162518,0.140008,0.052056
12.171936,0.141641,0.002107
12.181351,0.144433,0.002193
12.190764,0.142358,0.002169
12.200177,0.141531,0.002646
12.209588,0.141787,0.002401
12.218998,0.141573,0.002128
12.228405,0.139561,0.003362
12.237811,0.140689,0.002149
12.247215,0.144854,0.002197
12.256618,0.140185,0.003549
12.26602,0.14279,0.002074
12.275419,0.149863,0.002713
12.284819,0.14378,0.002952
12.294215,0.138729,0.005085
12.30361,0.143113,0.066731
12.313004,0.14531,0.002542
12.322395,0.140093,0.053685
12.331787,0.143664,0.002423
12.341175,0.145118,0.00318
12.350563,0.141591,0.003318
12.359948,0.143317,0.002457
12.369333,0.147669,0.003217
12.378716,0.1505,0.002678
12.388096,0.145835,0.002374
12.397476,0.146788,0.002292
12.408842,0.145372,0.003416
12.418926,0.137471,0.003071
12.429008,0.144414,0.002067
12.439085,0.14419,0.002337
12.44916,0.147386,0.002295
12.45923,0.144437,0.002352
12.469302,0.145,0.002551
12.479371,0.143752,0.002319
12.489439,0.146591,0.002627
12.499504,0.142619,0.001915
12.509567,0.145801,0.001977
12.51963,0.14826,0.001905
12.529691,0.148587,0.002153
12.539749,0.147143,0.00211
12.549807,0.147841,0.014689
12.559862,0.145918,0.001821
12.569916,0.149392,0.002257
12.579967,0.144297,0.00209
12.590017,0.146898,0.002089
12.600065,0.146031,0.002129
12.610113,0.146156,0.002293
12.620158,0.143765,0.042212
12.630201,0.146025,0.002263
12.640244,0.144268,0.002182
12.650288,0.143548,0.001518
12.660331,0.141952,0.001587
12.670367,0.143098,0.001559
12.680403,0.144127,0.001523
12.690435,0.141996,0.001659
12.700466,0.144753,0.001745
12.710497,0.146082,0.001877
12.720524,0.144675,0.001935
12.730551,0.14665,0.050357
12.740576,0.146197,0.047046
12.750599,0.142107,0.001705
12.76062,0.145318,0.001471
12.770639,0.14362,0.001522
12.780657,0.144513,0.001452
12.790674,0.142161,0.00994
12.800688,0.143316,0.001414
12.8107,0.147328,0.001497
12.820712,0.14463,0.001813
12.830721,0.141208,0.00134
12.840729,0.141459,0.001507
12.850735,0.143442,0.001818
12.86074,0.143317,0.001608
12.870743,0.144508,0.001746
12.880743,0.144168,0.001907
12.890743,0.143961,0.001617
12.900741,0.144048,0.001839
12.910736,0.145224,0.001632
12.920731,0.144722,0.001866
12.930723,0.143996,0.00169
12.940714,0.141048,0.001462
12.950704,0.145359,0.001885
12.960691,0.142135,0.00157
12.970676,0.143599,0.001649
12.980661,0.142949,0.00154
12.990644,0.142556,0.001527
13.000625,0.141305,0.001545
13.010603,0.14314,0.001793
13.02058,0.143218,0.001512
13.030557,0.145366,0.00158
13.040531,0.145132,0.001453
13.050504,0.142052,0.002036
13.060474,0.144822,0.001752
13.070444,0.142083,0.00157
13.080411,0.144576,0.002379
13.090377,0.141316,0.001621
13.100341,0.143041,0.001598
13.110304,0.144236,0.001701
13.120264,0.148217,0.00212
13.130223,0.145523,0.001739
13.140181,0.144224,0.001932
13.150137,0.147254,0.001885
13.160091,0.145568,0.001846
