,wavelength,flux,sigma,order
317,30.411989000000002,1.001301,0.031693,4.0
318,30.581341,1.000033,0.041569,4.0
319,30.7507,1.009851,0.033467000000000004,4.0
320,30.92005,1.004073,0.044976999999999996,4.0
321,31.089411,0.994434,0.044874000000000004,4.0
322,31.25876,0.9551639999999999,0.046834,4.0
323,31.428109999999997,0.9525379999999999,0.037653,4.0
324,31.597469,0.957519,0.031392,4.0
325,31.766821000000004,0.95539,0.049428,4.0
326,31.936171,0.9618969999999999,0.033912,4.0
327,32.10553,0.9467899999999999,0.041557,4.0
328,32.274879,0.958159,0.039649000000000004,4.0
329,32.444241,0.9622809999999999,0.050823,4.0
330,32.61359,0.965618,0.040986,4.0
331,32.78294,0.9796229999999999,0.05852,4.0
332,32.952301,0.9802870000000001,0.050786000000000005,4.0
333,33.121651,0.9729639999999999,0.050427,4.0
334,33.291,0.984405,0.048438999999999996,4.0
335,33.460361,0.9684520000000001,0.068223,4.0
336,33.629711,0.961966,0.127505,4.0
337,33.799068,1.002793,0.06630499999999999,4.0
338,33.968418,1.012879,0.087135,4.0
339,34.137772,0.94029,0.080919,4.0
340,34.307128999999996,0.9239209999999999,0.097233,4.0
341,34.476479,0.950759,0.076347,4.0
342,34.645828,0.939256,0.087416,4.0
343,34.815189000000004,0.936526,0.063523,4.0
344,34.984539,0.938974,0.08833400000000001,4.0
345,35.1539,0.9305549999999999,0.070114,4.0
346,35.32325,0.9575520000000001,0.104152,4.0
347,35.492599,0.935053,0.139426,4.0
348,35.661961,0.948517,0.108724,4.0
349,35.831309999999995,0.9928020000000001,0.121923,4.0
350,36.000659999999996,0.936456,0.11288,4.0
351,36.170021000000006,0.914593,0.14089000000000002,4.0
352,36.339371,0.911227,0.14991600000000002,4.0
353,36.508732,0.8090579999999999,0.155095,4.0
354,36.678082,0.878232,0.169767,4.0
355,36.847431,0.890078,0.146271,4.0
356,37.016788,0.8794129999999999,0.152531,4.0
357,37.186138,0.945081,0.20189100000000001,4.0
358,37.355492,0.9331459999999999,0.174256,4.0
