wavelength,flux,sigma
10.391566,0.287336,0.005296
10.399588,0.279449,0.006739
10.407607,0.293481,0.004794
10.415627,0.286326,0.002602
10.423643,0.281243,0.004146
10.43166,0.282426,0.003636
10.439674,0.286912,0.001865
10.447687,0.291354,0.00397
10.455699,0.283007,0.007321
10.46371,0.292957,0.00167
10.47172,0.281775,0.002095
10.479728,0.286785,0.00397
10.487734,0.281502,0.002652
10.495739,0.281592,0.003017
10.508369,0.294525,0.092792
10.516876,0.285206,0.007433
10.525383,0.293621,0.007683
10.533886,0.286545,0.008214
10.542389,0.285761,0.005711
10.55089,0.282274,0.00744
10.559389,0.285885,0.007197
10.567888,0.288256,0.029289
10.576385,0.281363,0.008278
10.584881,0.284241,0.007905
10.593374,0.285507,0.006821
10.601867,0.285646,0.008385
10.610357,0.280991,0.006326
10.618847,0.279808,0.006311
10.627336,0.283927,0.008263
10.635822,0.278602,0.006238
10.644308,0.283046,0.007073
10.652792,0.285088,0.006614
10.661275,0.284909,0.005145
10.669756,0.285398,0.004305
10.678236,0.278337,0.004518
10.686714,0.284227,0.005299
10.695191,0.281088,0.003664
10.703667,0.283395,0.004056
10.712141,0.282384,0.004831
10.720613,0.285768,0.0046
10.729086,0.28232,0.005265
10.737556,0.279571,0.004319
10.746024,0.283378,0.004249
10.754491,0.284676,0.005116
10.762957,0.284106,0.004117
10.771421,0.277721,0.004267
10.779884,0.277698,0.004289
10.788345,0.285451,0.00422
10.796806,0.281338,0.003272
10.805264,0.283337,0.004532
10.813723,0.283132,0.004128
10.822178,0.287256,0.003615
10.830633,0.283461,0.00408
10.839087,0.280414,0.003164
10.847538,0.288263,0.00332
10.855988,0.282316,0.002422
10.864437,0.285473,0.003794
10.872885,0.282548,0.004205
10.88133,0.28724,0.005096
10.889775,0.278086,0.002967
10.898218,0.286875,0.002815
10.90666,0.285319,0.003067
10.915102,0.28517,0.002503
10.92354,0.286073,0.002542
10.931978,0.292143,0.002295
10.940414,0.289836,0.002869
10.94885,0.285052,0.003132
10.957283,0.289491,0.002163
10.965715,0.288815,0.003407
10.974146,0.288994,0.003165
10.982576,0.283543,0.002659
10.991004,0.285389,0.00274
10.999499,0.286181,0.007749
11.003922,0.28518,0.005099
11.012907,0.286818,0.004327
11.021891,0.291033,0.003591
11.030873,0.287957,0.005193
11.039854,0.292004,0.003752
11.048836,0.293396,0.004594
11.057814,0.291106,0.00629
11.06679,0.287011,0.006663
11.075765,0.282191,0.006038
11.084738,0.290907,0.003639
11.09371,0.290485,0.004132
11.10268,0.285849,0.006156
11.111649,0.288301,0.005873
11.120616,0.284867,0.004774
11.129582,0.285533,0.005194
11.138546,0.286201,0.004923
11.147509,0.288356,0.006966
11.156471,0.28513,0.005487
11.16543,0.280026,0.005524
11.174389,0.286796,0.005968
11.183346,0.287025,0.004056
11.192301,0.285888,0.006445
11.201254,0.282386,0.005735
11.210207,0.280793,0.005484
11.219158,0.284011,0.006084
11.228107,0.278946,0.00345
11.237055,0.286115,0.007599
11.246002,0.284949,0.004843
11.254948,0.281666,0.005298
11.263891,0.279332,0.002697
11.272833,0.28273,0.004067
11.281773,0.282216,0.003232
11.290711,0.27278,0.004868
11.299648,0.277287,0.004439
11.308584,0.276926,0.003727
11.317518,0.273161,0.004783
11.326451,0.272561,0.004983
11.335382,0.272138,0.00536
11.344313,0.271817,0.00451
11.353241,0.269855,0.00448
11.362167,0.266791,0.003594
11.371093,0.267219,0.010172
11.380016,0.270524,0.003436
11.388939,0.268886,0.00291
