wavelength,flux,sigma
10.898218,0.219462,0.001978
10.90666,0.217567,0.003098
10.915102,0.215285,0.001987
10.92354,0.215278,0.003031
10.931978,0.21765,0.003054
10.940414,0.216478,0.002618
10.94885,0.213715,0.001916
10.957283,0.215236,0.008596
10.965715,0.217994,0.002175
10.974146,0.220893,0.033889
10.982576,0.218158,0.003665
10.991004,0.219427,0.003902
10.999499,0.217948,0.009413
11.003922,0.224736,0.002903
11.012907,0.222332,0.002092
11.021891,0.222169,0.002095
11.030873,0.220868,0.00313
11.039854,0.219549,0.002039
11.048836,0.224013,0.002242
11.057814,0.219548,0.002441
11.06679,0.220031,0.003116
11.075765,0.214824,0.003
11.084738,0.221484,0.002065
11.09371,0.219328,0.001729
11.10268,0.219856,0.002884
11.111649,0.221735,0.002472
11.120616,0.224025,0.002118
11.129582,0.220761,0.003977
11.138546,0.222611,0.002128
11.147509,0.22111,0.002592
11.156471,0.220693,0.002543
11.16543,0.220977,0.002267
11.174389,0.224354,0.00308
11.183346,0.218164,0.001811
11.192301,0.218862,0.002902
11.201254,0.219196,0.003297
11.210207,0.221246,0.002501
11.219158,0.222241,0.001815
11.228107,0.218219,0.00169
11.237055,0.22416,0.003993
11.246002,0.222111,0.002882
11.254948,0.223818,0.111848
11.263891,0.22424,0.110142
11.272833,0.223182,0.002134
11.281773,0.221695,0.001724
11.290711,0.217939,0.002825
11.299648,0.219999,0.001907
11.308584,0.219939,0.001867
11.317518,0.220747,0.001874
11.326451,0.220456,0.006978
11.335382,0.216219,0.003185
11.344313,0.219945,0.003064
11.353241,0.217509,0.002632
11.362167,0.220554,0.001489
11.371093,0.219894,0.009253
11.380016,0.223425,0.002793
11.388939,0.220827,0.002398
11.39786,0.222744,0.002132
11.406779,0.218478,0.004369
11.415697,0.217657,0.002773
11.424613,0.220757,0.002018
11.433529,0.218258,0.002567
11.442442,0.216466,0.003368
11.451353,0.218258,0.001756
11.460264,0.216065,0.001624
11.469173,0.219948,0.002007
11.478081,0.216469,0.001861
11.486986,0.217332,0.00169
11.495892,0.216716,0.001481
11.504794,0.217356,0.002163
11.513696,0.217262,0.005158
11.522596,0.217463,0.001917
11.531494,0.21604,0.001998
11.540392,0.216816,0.0014
11.549287,0.216667,0.002794
11.558182,0.217361,0.002094
11.567074,0.215771,0.004844
11.575966,0.216129,0.001824
11.584855,0.214865,0.002636
11.593743,0.21287,0.001801
11.60263,0.210206,0.001905
11.611515,0.211896,0.001966
11.620399,0.207611,0.002199
11.629282,0.211816,0.002315
11.638163,0.209207,0.015143
11.647041,0.211615,0.002916
11.65592,0.209511,0.002911
11.664797,0.210611,0.004194
11.673672,0.20791,0.002674
11.682545,0.215266,0.109811
11.691418,0.211134,0.00679
11.708624,0.216867,0.002667
11.718117,0.217495,0.003131
11.72761,0.215137,0.003363
11.7371,0.21055,0.004513
11.746588,0.209711,0.041763
11.756075,0.214672,0.004091
11.765561,0.210914,0.002886
11.775045,0.214689,0.003774
11.784528,0.211882,0.002894
11.794008,0.21052,0.002631
11.803488,0.207312,0.084661
11.812965,0.206401,0.002705
11.822443,0.209716,0.002211
11.83192,0.207093,0.002225
11.841393,0.205447,0.001871
11.850864,0.210401,0.002291
11.860332,0.207233,0.001993
11.869801,0.206202,0.001822
11.879268,0.207663,0.002254
11.888732,0.209028,0.001921
11.898195,0.210283,0.001692
11.907658,0.206248,0.001917
11.917116,0.207481,0.010695
11.926575,0.208679,0.002336
11.936031,0.208484,0.002353
11.945487,0.203738,0.002503
11.954941,0.205566,0.002293
11.964392,0.208186,0.002458
11.973843,0.206004,0.002235
11.983292,0.200682,0.002117
11.992739,0.199469,0.004307
12.002184,0.202336,0.001818
12.011629,0.203903,0.001736
12.02107,0.203385,0.002504
12.030512,0.201502,0.002467
12.039951,0.200799,0.004358
12.049389,0.203182,0.002061
12.058825,0.198786,0.002045
12.06826,0.201441,0.00195
12.077692,0.195325,0.002567
12.087124,0.197762,0.002302
12.096554,0.19638,0.001532
12.105982,0.195061,0.002731
12.115408,0.194709,0.003107
12.124834,0.1952,0.004511
12.134256,0.195597,0.0042
12.143679,0.197299,0.002141
